t,x,y,z,vx,vy,vz,roll,pitch,yaw,wx,wy,wz,rpm0,rpm1,rpm2,rpm3
2.875000000000000000e+00,2.140321908640380914e-16,1.077934736195510769e-16,8.136739261762255815e-01,-4.199841701170090376e-16,9.102195826293230438e-19,1.448118082401563811e-01,-8.221414519349139796e-17,3.770372090802910875e-17,-1.891878398689637133e-16,-2.318666559455122034e-15,5.796962684484618771e-16,-1.873516946521140643e-15,1.441018682279799214e+04,1.441018682279798304e+04,1.441018682279799577e+04,1.441018682279798486e+04
2.895833333333333037e+00,2.053696233706355738e-16,1.080045984949393440e-16,8.166712491541805452e-01,-4.110745186005128473e-16,2.029675484894043990e-17,1.429314055737472000e-01,-1.063639677239914011e-16,5.581945294594406843e-17,-2.368933685558530231e-16,2.769957855519544720e-19,1.159412357062342148e-15,-2.706212278245954991e-15,1.441077881403671927e+04,1.441077881403671745e+04,1.441077881403671745e+04,1.441077881403671563e+04
2.916666666666666519e+00,1.969298770594038044e-16,1.086474064227113937e-16,8.196295839502534264e-01,-3.989845910977442132e-16,4.092390172304889866e-17,1.410689381484118154e-01,-8.784816284275230848e-17,5.581857918445051003e-17,-2.438304475114960486e-16,1.739454957949967038e-15,-1.159511399838579067e-15,1.873755402133627694e-15,1.441137295444116717e+04,1.441137295444117444e+04,1.441137295444116171e+04,1.441137295444117444e+04
2.937500000000000000e+00,1.887275405319587729e-16,1.096698238795940177e-16,8.225493044702264500e-01,-3.887528763508253289e-16,5.636695396951402960e-17,1.392244305106092317e-01,-6.368748648583465345e-17,4.977878668943221997e-17,-1.961199510267154882e-16,5.799732727131129801e-16,5.796863697888154486e-16,2.706450731231035484e-15,1.441196892406736151e+04,1.441196892406736515e+04,1.441196892406736515e+04,1.441196892406736515e+04
2.958333333333333037e+00,1.807394920507558896e-16,1.109723005750718091e-16,8.254307850458154627e-01,-3.777866704328701945e-16,6.824625367895795645e-17,1.373978990037449666e-01,-5.058708652749562272e-17,5.944015193432602087e-17,-1.791168805552057377e-16,5.799633676311414657e-16,5.796764696067197351e-16,-1.040800976836034406e-15,1.441256641518821198e+04,1.441256641518820288e+04,1.441256641518821198e+04,1.441256641518820288e+04
2.979166666666666519e+00,1.729976510599894696e-16,1.124918624390064479e-16,8.282744002672381978e-01,-3.653518075794087903e-16,7.692693382031957588e-17,1.355893521008014746e-01,-2.642696039660219663e-17,5.943898277732348057e-17,-2.094742554490653101e-16,1.739405440648394981e-15,-5.797854083363565822e-16,-1.873505483783357942e-15,1.441316513191082777e+04,1.441316513191082413e+04,1.441316513191082413e+04,1.441316513191082413e+04
3.000000000000000000e+00,1.655083532192241370e-16,1.141390529911673215e-16,8.310805248225997532e-01,-3.536991324914770649e-16,8.081171982012218523e-17,1.337987907260466680e-01,-2.038380436389487849e-17,5.943788239683896793e-17,-2.376627288266688018e-16,-1.159254210637868475e-15,5.796764714672314168e-16,-8.325898720197208811e-16,1.441376478980549473e+04,1.441376478980549837e+04,1.441376478980549837e+04,1.441376478980550019e+04
3.020833333333333037e+00,1.582712067057306009e-16,1.158778759445378318e-16,8.338495333438691315e-01,-3.406754700479410721e-16,8.689813141218100948e-17,1.320262085661665641e-01,-4.453472751888955678e-17,7.151437242697682633e-17,-2.116375522582219674e-16,-1.159234412297975186e-15,5.796665714541841579e-16,3.330999176512840409e-15,1.441436511554574827e+04,1.441436511554575736e+04,1.441436511554574827e+04,1.441436511554575736e+04
3.041666666666666519e+00,1.513280309477124900e-16,1.177901938421478794e-16,8.365818002592314562e-01,-3.257911349431014917e-16,9.699750416519465630e-17,1.302715923711557644e-01,-4.834933687307727636e-17,7.344570529618117909e-17,-1.755512333690457939e-16,5.799633525988833683e-16,-5.797953063198464658e-16,4.164565618424184615e-16,1.441496584655925835e+04,1.441496584655925108e+04,1.441496584655925471e+04,1.441496584655924926e+04
3.062500000000000000e+00,1.446957723409414938e-16,1.199033176194504819e-16,8.392776996516055910e-01,-3.109056978526961046e-16,1.052411190103877558e-16,1.285349222452923934e-01,-2.918784800190552673e-17,7.344570529618117909e-17,-1.755512333690457939e-16,5.799534476863325523e-16,-5.797854042772765415e-16,4.164519731450000224e-16,1.441556673068925738e+04,1.441556673068925738e+04,1.441556673068925738e+04,1.441556673068925738e+04
3.083333333333333037e+00,1.383646645433943089e-16,1.221484721408069304e-16,8.419376051231233227e-01,-2.975855863820066781e-16,1.095886642470117217e-16,1.268161719285092470e-01,-5.027928534764176402e-18,4.928928670349994532e-17,-1.712122687278095755e-16,1.739395520873004005e-15,-1.739227480333879583e-15,8.939702819679036144e-20,1.441616752586621078e+04,1.441616752586620896e+04,1.441616752586620896e+04,1.441616752586620896e+04
3.104166666666666519e+00,1.322506899182486467e-16,1.244238157813966163e-16,8.445618896653730445e-01,-2.905309585612668374e-16,1.076692350978160622e-16,1.251153090684656299e-01,3.120916870867076497e-17,1.305569027473540191e-17,-1.733789414670454268e-16,1.739365814581307603e-15,-1.739197776912066055e-15,-2.080895976917906426e-16,1.441676799978922099e+04,1.441676799978922099e+04,1.441676799978922281e+04,1.441676799978922099e+04
3.125000000000000000e+00,1.262137593553744940e-16,1.265880108081717670e-16,8.471509255352190904e-01,-2.894295864457171568e-16,9.948715271773831581e-17,1.234322954836142433e-01,4.818601448362235304e-17,2.427289101075547312e-18,-1.744190848437524152e-16,-5.795678470631713913e-16,5.797358818625789722e-16,2.082706825987921627e-16,1.441736792961712126e+04,1.441736792961712490e+04,1.441736792961712672e+04,1.441736792961712490e+04
3.145833333333333037e+00,1.201995295889675718e-16,1.285707354549059865e-16,8.497050841360094253e-01,-2.870747124087265136e-16,9.187273088609594078e-17,1.217670874175467849e-01,1.195646914581777750e-17,3.262150555978406224e-17,-1.614059955257364243e-16,-2.898461904765389433e-15,2.318903947729982094e-15,1.040984362722772949e-15,1.441796710166879166e+04,1.441796710166879529e+04,1.441796710166879529e+04,1.441796710166879529e+04
3.166666666666666519e+00,1.143050600380515239e-16,1.304872400400394786e-16,8.522247359039948345e-01,-2.780108432371461932e-16,9.375697439345547136e-17,1.201196357848941521e-01,-3.634997908044888964e-17,5.073744406292182863e-17,-1.440560111159942221e-16,-1.738960425411540532e-15,-5.797656005299611494e-16,6.246149052396367256e-16,1.441856531113246092e+04,1.441856531113245728e+04,1.441856531113245728e+04,1.441856531113245910e+04
3.187500000000000000e+00,1.086085085957370554e-16,1.325313493077891096e-16,8.547102501997860813e-01,-2.698767410987139362e-16,1.031825536375823818e-16,1.184898864090475207e-01,-5.446152318993744419e-17,1.450377889640647860e-17,-1.245376667794820831e-16,2.472403444630740396e-19,-2.898659654854844183e-15,1.249145004169028424e-15,1.441916236178374857e+04,1.441916236178374675e+04,1.441916236178374311e+04,1.441916236178374675e+04
3.208333333333333037e+00,1.029861221788329146e-16,1.347874334620270274e-16,8.571619952046799495e-01,-2.718314727493006083e-16,1.124610124539288935e-16,1.168777802519582187e-01,-1.822339494827204753e-17,-4.588444823659049453e-17,-9.851395589723040111e-17,3.478603169912148095e-15,-2.898610150053778967e-15,1.249131240552408940e-15,1.441975806571216162e+04,1.441975806571216162e+04,1.441975806571215799e+04,1.441975806571215799e+04
3.229166666666666519e+00,9.720116903453984165e-17,1.371321184726570505e-16,8.595803378216936297e-01,-2.848563283241559016e-16,1.102774600314593445e-16,1.152832536362661531e-01,5.424688557548180825e-17,-8.211632573161211043e-17,-7.249053175541188997e-17,3.478543760537327509e-15,-5.796566902380599201e-16,1.249117477087442838e-15,1.442035224305576594e+04,1.442035224305576958e+04,1.442035224305576958e+04,1.442035224305576594e+04
3.250000000000000000e+00,9.108995096765984206e-17,1.392810789451880956e-16,8.619656435811500206e-01,-3.018989348185454054e-16,9.398480403239133484e-17,1.137062384599984849e-01,1.146382692661158624e-16,-8.211474450794794944e-17,-3.996178884967905108e-17,2.319032374247069839e-15,5.798051873672143248e-16,1.873640694979045965e-15,1.442094472174382827e+04,1.442094472174383191e+04,1.442094472174383191e+04,1.442094472174383191e+04
3.270833333333333037e+00,8.463591515882431355e-17,1.409838313368926842e-16,8.643182765506590703e-01,-3.169829894295217563e-16,6.916578489162228777e-17,1.121466624040722559e-01,1.146403945762755458e-16,-5.795791377107914241e-17,7.746317915879975127e-18,-2.318815143101298739e-15,1.739247263085951790e-15,2.706336025340346582e-15,1.442153533724713088e+04,1.442153533724713452e+04,1.442153533724713816e+04,1.442153533724713816e+04
3.291666666666666519e+00,7.792518715532043583e-17,1.422041996354680969e-16,8.666385992493513823e-01,-3.263845373410808762e-16,4.924378817323933322e-17,1.106044491328274232e-01,7.840981743120008476e-17,-3.380156435354588994e-17,5.545386715442340753e-17,-1.159323563253098115e-15,5.797655813962173002e-16,1.873590230826770108e-15,1.442212393233579314e+04,1.442212393233578950e+04,1.442212393233578950e+04,1.442212393233578950e+04
3.312500000000000000e+00,7.106166596804980785e-17,1.430752448496390863e-16,8.689269725662177590e-01,-3.319646796700691025e-16,3.500367602546853514e-17,1.090795184878098206e-01,6.029627901658277877e-17,-1.568438830821692202e-17,9.014971158689253887e-17,-5.795777747637346295e-16,1.159481668826335264e-15,1.457211599334271185e-15,1.442271035684427625e+04,1.442271035684427625e+04,1.442271035684427625e+04,1.442271035684427443e+04
3.333333333333333037e+00,6.412486834126195809e-17,1.436831915174022193e-16,8.711837556824192363e-01,-3.331838284215343165e-16,2.375113266325296188e-17,1.075717866750156293e-01,4.822184515020944377e-17,8.471273518572275914e-18,1.205081193208014133e-16,-5.795678764362805851e-16,1.159461866601793871e-15,1.457195543150465620e-15,1.442329446744351662e+04,1.442329446744351662e+04,1.442329446744351662e+04,1.442329446744351662e+04
